"VALDATA","VALVALOR"
"1993-07-01",22.0101366146558
"1993-08-01",29.3483184707683
"1993-09-01",39.8051253226265
"1993-10-01",53.3866329234744
"1993-11-01",72.6058212060671
"1993-12-01",100
"1994-01-01",141.32
"1994-02-01",198.65
"1994-03-01",284.23
"1994-04-01",406.05
"1994-05-01",579.56
"1994-06-01",859.14
"1994-07-01",925.72
"1994-08-01",942.85
"1994-09-01",956.05
"1994-10-01",983.01
"1994-11-01",1012.11
"1994-12-01",1029.32
"1995-01-01",1044.14
"1995-02-01",1054.69
"1995-03-01",1071.78
"1995-04-01",1098.47
"1995-05-01",1121.54
"1995-06-01",1145.99
"1995-07-01",1174.18
"1995-08-01",1186.16
"1995-09-01",1200.04
"1995-10-01",1216.84
"1995-11-01",1235.21
"1995-12-01",1255.59
"1996-01-01",1273.92
"1996-02-01",1282.96
"1996-03-01",1286.68
"1996-04-01",1298.65
"1996-05-01",1315.27
"1996-06-01",1332.76
"1996-07-01",1348.75
"1996-08-01",1355.49
"1996-09-01",1355.76
"1996-10-01",1360.91
"1996-11-01",1365.54
"1996-12-01",1370.05
"1997-01-01",1381.15
"1997-02-01",1387.37
"1997-03-01",1396.8
"1997-04-01",1405.18
"1997-05-01",1406.73
"1997-06-01",1411.65
"1997-07-01",1414.19
"1997-08-01",1413.77
"1997-09-01",1415.18
"1997-10-01",1419.28
"1997-11-01",1421.41
"1997-12-01",1429.51
"1998-01-01",1441.66
"1998-02-01",1449.44
"1998-03-01",1456.54
"1998-04-01",1463.09
"1998-05-01",1473.62
"1998-06-01",1475.83
"1998-07-01",1471.7
"1998-08-01",1464.49
"1998-09-01",1459.95
"1998-10-01",1461.56
"1998-11-01",1458.93
"1998-12-01",1465.06
"1999-01-01",1474.58
"1999-02-01",1493.6
"1999-03-01",1512.72
"1999-04-01",1519.83
"1999-05-01",1520.59
"1999-06-01",1521.65
"1999-07-01",1532.91
"1999-08-01",1541.34
"1999-09-01",1547.35
"1999-10-01",1562.2
"1999-11-01",1576.88
"1999-12-01",1588.55
"2000-01-01",1598.24
"2000-02-01",1599.04
"2000-03-01",1601.12
"2000-04-01",1602.56
"2000-05-01",1601.76
"2000-06-01",1606.57
"2000-07-01",1628.9
"2000-08-01",1648.61
"2000-09-01",1655.7
"2000-10-01",1658.35
"2000-11-01",1663.16
"2000-12-01",1672.31
"2001-01-01",1685.19
"2001-02-01",1693.45
"2001-03-01",1701.58
"2001-04-01",1715.87
"2001-05-01",1725.65
"2001-06-01",1736
"2001-07-01",1755.27
"2001-08-01",1769.14
"2001-09-01",1776.92
"2001-10-01",1793.62
"2001-11-01",1816.76
"2001-12-01",1830.2
"2002-01-01",1849.78
"2002-02-01",1855.51
"2002-03-01",1867.01
"2002-04-01",1879.71
"2002-05-01",1881.4
"2002-06-01",1892.88
"2002-07-01",1914.65
"2002-08-01",1931.12
"2002-09-01",1947.15
"2002-10-01",1977.72
"2002-11-01",2044.76
"2002-12-01",2099.97
"2003-01-01",2151.84
"2003-02-01",2183.26
"2003-03-01",2213.17
"2003-04-01",2243.71
"2003-05-01",2265.92
"2003-06-01",2264.56
"2003-07-01",2265.47
"2003-08-01",2269.55
"2003-09-01",2288.16
"2003-10-01",2297.08
"2003-11-01",2305.58
"2003-12-01",2318.03
"2004-01-01",2337.27
"2004-02-01",2346.39
"2004-03-01",2359.76
"2004-04-01",2369.43
"2004-05-01",2378.91
"2004-06-01",2390.8
"2004-07-01",2408.25
"2004-08-01",2420.29
"2004-09-01",2424.4
"2004-10-01",2428.52
"2004-11-01",2439.21
"2004-12-01",2460.19
"2005-01-01",2474.21
"2005-02-01",2485.1
"2005-03-01",2503.24
"2005-04-01",2526.02
"2005-05-01",2543.7
"2005-06-01",2540.9
"2005-07-01",2541.66
"2005-08-01",2541.66
"2005-09-01",2545.47
"2005-10-01",2560.23
"2005-11-01",2574.05
"2005-12-01",2584.35
"2006-01-01",2594.17
"2006-02-01",2600.14
"2006-03-01",2607.16
"2006-04-01",2610.29
"2006-05-01",2613.68
"2006-06-01",2611.85
"2006-07-01",2614.72
"2006-08-01",2614.2
"2006-09-01",2618.38
"2006-10-01",2629.64
"2006-11-01",2640.68
"2006-12-01",2657.05
"2007-01-01",2670.07
"2007-02-01",2681.28
"2007-03-01",2693.08
"2007-04-01",2700.08
"2007-05-01",2707.1
"2007-06-01",2715.49
"2007-07-01",2724.18
"2007-08-01",2740.25
"2007-09-01",2747.1
"2007-10-01",2755.34
"2007-11-01",2767.19
"2007-12-01",2794.03
"2008-01-01",2813.31
"2008-02-01",2826.81
"2008-03-01",2841.23
"2008-04-01",2859.41
"2008-05-01",2886.86
"2008-06-01",2913.13
"2008-07-01",2930.03
"2008-08-01",2936.18
"2008-09-01",2940.58
"2008-10-01",2955.28
"2008-11-01",2966.51
"2008-12-01",2975.11
"2009-01-01",2994.15
"2009-02-01",3003.43
"2009-03-01",3009.44
"2009-04-01",3025.99
"2009-05-01",3044.15
"2009-06-01",3056.93
"2009-07-01",3063.96
"2009-08-01",3066.41
"2009-09-01",3071.32
"2009-10-01",3078.69
"2009-11-01",3090.08
"2009-12-01",3097.5
"2010-01-01",3124.76
"2010-02-01",3146.63
"2010-03-01",3168.97
"2010-04-01",3192.1
"2010-05-01",3205.83
"2010-06-01",3202.3
"2010-07-01",3200.06
"2010-08-01",3197.82
"2010-09-01",3215.09
"2010-10-01",3244.67
"2010-11-01",3278.09
"2010-12-01",3297.76
"2011-01-01",3328.76
"2011-02-01",3346.74
"2011-03-01",3368.83
"2011-04-01",3393.09
"2011-05-01",3412.43
"2011-06-01",3419.94
"2011-07-01",3419.94
"2011-08-01",3434.3
"2011-09-01",3449.76
"2011-10-01",3460.8
"2011-11-01",3480.52
"2011-12-01",3498.27
"2012-01-01",3516.11
"2012-02-01",3529.82
"2012-03-01",3536.17
"2012-04-01",3558.81
"2012-05-01",3578.38
"2012-06-01",3587.67
"2012-07-01",3603.1
"2012-08-01",3619.31
"2012-09-01",3642.12
"2012-10-01",3667.97
"2012-11-01",3687.78
"2012-12-01",3715.07
"2013-01-01",3749.25
"2013-02-01",3768.75
"2013-03-01",3791.36
"2013-04-01",3813.73
"2013-05-01",3827.08
"2013-06-01",3837.8
"2013-07-01",3832.81
"2013-08-01",3838.94
"2013-09-01",3849.31
"2013-10-01",3872.79
"2013-11-01",3893.7
"2013-12-01",3921.74
"2014-01-01",3946.44
"2014-02-01",3971.7
"2014-03-01",4004.27
"2014-04-01",4035.5
"2014-05-01",4059.71
"2014-06-01",4070.27
"2014-07-01",4075.56
"2014-08-01",4082.9
"2014-09-01",4102.9
"2014-10-01",4118.49
"2014-11-01",4140.32
"2014-12-01",4165.99
"2015-01-01",4227.64
"2015-02-01",4276.69
"2015-03-01",4341.26
"2015-04-01",4372.08
"2015-05-01",4415.37
"2015-06-01",4449.36
"2015-07-01",4475.17
"2015-08-01",4486.36
"2015-09-01",4509.24
"2015-10-01",4543.96
"2015-11-01",4594.4
"2015-12-01",4635.75
"2016-01-01",4705.75
"2016-02-01",4750.45
"2016-03-01",4771.36
"2016-04-01",4801.89
"2016-05-01",4848.95
"2016-06-01",4871.74
"2016-07-01",4902.92
"2016-08-01",4918.12
"2016-09-01",4922.05
"2016-10-01",4930.42
"2016-11-01",4933.87
"2016-12-01",4940.78
"2017-01-01",4961.53
"2017-02-01",4973.44
"2017-03-01",4989.36
"2017-04-01",4993.35
"2017-05-01",5011.33
"2017-06-01",4996.3
"2017-07-01",5004.79
"2017-08-01",5003.29
"2017-09-01",5002.29
"2017-10-01",5020.8
"2017-11-01",5029.84
"2017-12-01",5042.92
"2018-01-01",5054.52
"2018-02-01",5063.62
"2018-03-01",5067.16
"2018-04-01",5077.8
"2018-05-01",5099.63
"2018-06-01",5172.55
"2018-07-01",5185.48
"2018-08-01",5185.48
"2018-09-01",5201.04
"2018-10-01",5221.84
"2018-11-01",5208.79
"2018-12-01",5216.08
"2019-01-01",5234.86
"2019-02-01",5263.13
"2019-03-01",5303.66
"2019-04-01",5335.48
"2019-05-01",5343.48
"2019-06-01",5344.01
"2019-07-01",5349.35
"2019-08-01",5355.77
"2019-09-01",5353.09
"2019-10-01",5355.23
"2019-11-01",5384.15
"2019-12-01",5449.84
"2020-01-01",5460.19
"2020-02-01",5469.47
"2020-03-01",5479.32
"2020-04-01",5466.72
"2020-05-01",5453.05
"2020-06-01",5469.41
"2020-07-01",5493.48
"2020-08-01",5513.26
"2020-09-01",5561.23
"2020-10-01",5610.72
"2020-11-01",5664.02
"2020-12-01",5746.71
"2021-01-01",5762.23
"2021-02-01",5809.48
"2021-03-01",5859.44
"2021-04-01",5881.71
"2021-05-01",5938.17
"2021-06-01",5973.8
"2021-07-01",6034.73
"2021-08-01",6087.84
"2021-09-01",6160.89
"2021-10-01",6232.36
"2021-11-01",6284.71
"2021-12-01",6330.59
"2022-01-01",6373
"2022-02-01",6436.73
"2022-03-01",6546.8
"2022-04-01",6614.89
"2022-05-01",6644.66
"2022-06-01",6685.86
"2022-07-01",6645.74
"2022-08-01",6625.14
"2022-09-01",6603.94
"2022-10-01",6634.98
"2022-11-01",6660.19
"2022-12-01",6706.15
"2023-01-01",6737
"2023-02-01",6788.87
"2023-03-01",6832.32
"2023-04-01",6868.53
"2023-05-01",6893.26
"2023-06-01",6886.37
"2023-07-01",6880.17
"2023-08-01",6893.93
"2023-09-01",6901.51
"2023-10-01",6909.79
"2023-11-01",6916.7
"2023-12-01",6954.74
"2024-01-01",6994.38
"2024-02-01",7051.03
"2024-03-01",7064.43
"2024-04-01",7090.57
"2024-05-01",7123.19
"2024-06-01",7141
"2024-07-01",7159.57
"2024-08-01",7149.55
"2024-09-01",7183.87
"2024-10-01",7227.69
"2024-11-01",7251.54
"2024-12-01",7286.35
"2025-01-01",7286.35
"2025-02-01",7394.19
"2025-03-01",7431.9
"2025-04-01",7467.57
"2025-05-01",7493.71
"2025-06-01",7510.95
